,track_id,acousticness,danceability,energy,instrumentalness,speechiness,tempo,valence,Cluster
0,10,0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.0329852191,111.562,0.9635898919,243
1,139,0.1065495253,0.2609111726,0.6070668636,0.8350869898,0.0305692764,196.961,0.1602670903,228
2,141,0.9636568796,0.435932998,0.0756321472,0.3454934909,0.0266578493,33.477,0.1639499337,175
3,142,0.6628811246,0.3790654766,0.8238557796,0.9102661844,0.0790903546,147.781,0.0928676322,132
4,144,0.9090114288,0.4436425913,0.6419971681,0.9240916996,0.0896589132,128.537,0.7882507821,196
5,146,0.5320194932,0.4176809211,0.4764224981,0.4025004064,0.0353607215,135.468,0.6823971806,119
6,153,0.9883055496,0.2556609004,0.9797737929,0.9730057241,0.0517397623,90.241,0.0340178672,62
7,154,0.9701348869,0.3529461312,0.0238515619,0.9571128852,0.0321767642,53.758,0.035631561,167
8,169,0.989141175,0.2259775281,0.7228348527,0.2630762793,0.0534063523,94.322,0.0283472078,46
9,171,0.6982777611,0.2858156458,0.2134937338,0.9556913003,0.0640938189,125.645,0.1505991359,214
10,172,0.8155489042,0.1441250712,0.8927211866,0.9004301244,0.1022936576,138.68,0.0349164186,62
11,173,0.8421128878,0.2852932287,0.5646886968,0.9516243456,0.0406105474,166.552,0.254299214,109
12,174,0.3673926458,0.3396980706,0.8466394386,0.9091861794,0.4626074726,70.887,0.0482427328,52
13,176,0.8335160135,0.2065092789,0.779140487,0.9408410856,0.0772271448,123.583,0.0281438157,62
14,177,0.7542752993,0.2091129065,0.5799592774,0.7368654346,0.0733502023,95.932,0.0833302608,33
15,179,0.9588732916,0.2746088553,0.9894824701,0.9193623081,0.1853163118,84.173,0.0332076001,62
16,200,0.9601916036,0.2159259286,0.2951264558,0.8029777144,0.0378251053,200.391,0.3677399293,116
17,213,0.933741035,0.3127198225,0.3409990466,0.9192423237,0.032745236,142.499,0.0430538151,214
18,226,0.1325832964,0.5411565335,0.7572551846,0.8826174388,0.0292159697,144.808,0.7335055159,16
19,394,0.0007122859,0.215454605,0.1549102816,0.9345856414,0.2176269767,97.18,0.0562551953,65
20,395,0.0564462733,0.1415349017,0.9479761165,0.8967937883,0.084914948,105.29,0.1768571866,27
21,461,0.9843549663,0.5711679232,0.3196275772,0.0306228908,0.0502900785,107.232,0.7885014707,40
22,520,0.973496023,0.5886285141,0.4131042642,0.940913916,0.0671223801,103.847,0.5720303238,88
23,521,0.863267302,0.342537371,0.5422427821,0.8637431876,0.0378702007,88.997,0.6326724118,240
24,522,0.9862978037,0.415193851,0.651722439,0.747206005,0.0314548766,92.372,0.7809922696,85
25,523,0.9920546438,0.3218679638,0.4234023651,0.9530970931,0.0371677027,126.486,0.2621835285,10
26,524,0.9932647914,0.3846007934,0.5444991642,0.9233467677,0.0373866147,166.46,0.8234256937,63
27,525,0.9808843818,0.3134392298,0.3703450659,0.9206941882,0.046286386,135.019,0.1874533971,214
28,526,0.8746857594,0.4915045203,0.3018185836,0.8360157207,0.0307638772,156.583,0.6786789791,30
29,527,0.994909713,0.3184324725,0.7832594588,0.8697103635,0.0578873304,152.004,0.930636472,80
30,528,0.9895154059,0.2856620446,0.3450816013,0.928601552,0.0312830102,93.621,0.5372120185,240
31,529,0.9939988458,0.1517703512,0.9256435321,0.8586497421,0.0679786043,185.196,0.5970784061,1
32,530,0.9932961084,0.2994175835,0.5774532605,0.9568204339,0.03677119,104.875,0.5529250374,227
33,531,0.9729040782,0.4505568834,0.3854682954,0.893690361,0.0357259694,130.166,0.1169142645,10
34,533,0.0045131774,0.5434604657,0.539879231,0.678026895,0.0504146381,105.913,0.1803845219,144
35,534,0.9954284179,0.3114615442,0.1438200274,0.9195401144,0.0404929027,79.795,0.4733627871,96
36,535,0.9955650766,0.4053275332,0.146650627,0.9534616919,0.0379361855,88.726,0.3503921264,96
37,536,0.9957700915,0.5624159761,0.2012553388,0.9629103246,0.097791467,127.066,0.5693952593,14
38,537,0.9949853171,0.3983451005,0.2215937367,0.8448604703,0.277007498,178.46,0.2250071605,189
39,538,0.9957751489,0.4403091965,0.1956069537,0.9521473416,0.0632442,58.432,0.390083104,96
40,539,0.9939836472,0.2742158434,0.0800287628,0.9287075194,0.0608216662,204.539,0.3265796539,116
41,540,0.9957162406,0.4485085105,0.148548727,0.9423216421,0.046574613,45.532,0.3559093211,26
42,541,0.9956243133,0.4403225965,0.1747286734,0.955770286,0.0548462042,105.539,0.3531438485,99
43,546,0.9956504513,0.5716136809,0.2128768901,0.9425357801,0.0683075865,98.047,0.4441029627,61
44,548,0.9926281536,0.5678517869,0.0495702739,0.0994448556,0.8266743935,136.342,0.3291267709,83
45,572,0.7592542704,0.7478856176,0.4561774576,0.9026156499,0.0280071,128.955,0.9687803396,234
46,573,0.3423262003,0.1760942769,0.6395523483,0.9265869856,0.0497420534,125.603,0.1502113238,56
47,574,0.3049734899,0.0776074462,0.985285921,0.6842740657,0.0672688702,178.194,0.2626510913,183
48,580,0.0005734873,0.2806028598,0.9523387503,8.67853e-05,0.0987943087,151.043,0.1985311284,69
49,601,0.9663056917,0.2265489465,0.0205453112,0.9115104258,0.0348008977,61.302,0.0345977347,167
50,603,0.9760320853,0.4940761227,0.0663499835,0.6906181199,0.0532629089,114.431,0.1130603815,99
51,604,0.9688673028,0.2851178807,0.020328495,0.1110461569,0.0391179862,91.766,0.1005840355,66
52,605,0.6457261123,0.3918469105,0.9834314012,0.2198899012,0.0402719287,151.461,0.3298025339,197
53,608,0.5941410357,0.4274533314,0.7723291791,0.7073819743,0.0450513825,107.025,0.3615675733,219
54,609,0.0533032584,0.3582756015,0.9798132053,0.9245064375,0.1384133102,121.816,0.2076767562,156
55,621,0.9763283789,0.3374758924,0.3387460962,0.7089930973,0.0331432935,99.978,0.1846307315,76
56,625,0.984743848,0.3434473556,0.2938124533,0.0576944525,0.0298711645,92.749,0.0974817452,101
57,626,0.9915763571,0.4360036229,0.3495786314,0.9578133087,0.0302610256,100.644,0.2983713359,240
58,631,0.5168458322,0.538650091,0.5446485534,0.9425298367,0.0307536957,97.988,0.7280710848,215
59,633,0.7083949157,0.2703633073,0.5699974225,0.9698735352,0.034883829,86.65,0.0850754128,33
60,634,0.8391063594,0.251238526,0.9274718194,0.9726260992,0.0450682705,170.148,0.3036507909,132
61,635,0.1528135518,0.1898649332,0.6353565314,0.8951584537,0.0301011679,93.86,0.341445384,135
62,658,0.9639543025,0.4628826841,0.4888538005,0.6930209985,0.5954402048,132.876,0.0336085977,19
63,665,0.5560528632,0.2554061538,0.6615805112,0.8603736975,0.0457623212,109.914,0.0932941442,56
64,690,0.0403489418,0.2967392425,0.9564261719,0.9340780549,0.0760720385,146.953,0.3121138885,156
65,695,0.3113244672,0.2916881798,0.8108574058,0.44010699,0.1060185314,166.2,0.5480567941,11
66,711,0.5320419596,0.436654818,0.983905716,0.951226331,0.0704746684,140.968,0.2777069128,186
67,712,0.2761443097,0.394028799,0.9967472741,0.9415414251,0.0573055052,108.32,0.0572610317,79
68,713,0.2965330279,0.2631402129,0.995838598,0.9332045016,0.0964837346,122.136,0.0658136478,156
69,714,0.3654471625,0.2617475693,0.0723938509,0.8740612382,0.0378087678,45.527,0.0342540436,65
70,715,0.9688864623,0.1553403861,0.2123027599,0.9454553954,0.0379409424,93.523,0.0545813398,198
71,716,0.9850551899,0.1246810839,0.0263421742,0.9682346122,0.0444218081,145.716,0.0337189309,25
72,717,0.8592502066,0.1671394584,0.1257387686,0.9354126218,0.0510931268,124.129,0.0340101489,77
73,718,0.9604920231,0.3342395136,0.1038395016,0.0017117108,0.0340278803,19.659,0.0393351264,175
74,721,0.4346485791,0.2468529186,0.9182139343,0.7977822065,0.0450164777,86.842,0.4840278457,217
75,822,0.6743564014,0.8704490089,0.2751175212,0.8860449362,0.0880396925,119.997,0.3283175456,44
76,851,0.0121212177,0.4813054813,0.5877387399,0.9589826018,0.0283674115,136.222,0.2166881937,144
77,853,0.9957009005,0.2129394543,0.3495002665,0.9709433459,0.0365954761,90.442,0.3273490715,15
78,859,2.73313e-05,0.4460656861,0.897372316,0.7254044703,0.0695446806,101.451,0.3492844969,9
79,861,8.02457e-05,0.2282801019,0.9166640645,0.8910324047,0.0927086236,82.087,0.5961285095,217
80,1007,0.7990035433,0.438533624,0.9775438492,0.9596993948,0.0484280152,119.815,0.1253869082,186
81,1009,0.279810924,0.3166683587,0.8574220608,0.9632305657,0.0504345966,122.831,0.4657980217,219
82,1013,0.0648879552,0.1908499685,0.8801356436,0.9603482954,0.0451327402,141.031,0.0347285245,17
83,1014,0.0010587609,0.1097386344,0.6582333772,0.9167443269,0.0388572412,167.38,0.3219508221,17
84,1015,0.1228025375,0.3229329076,0.9620694469,0.9583905053,0.0523648904,135.446,0.1658239592,156
85,1016,0.0796226641,0.0738091931,0.8429030955,0.9655157777,0.0584724552,173.212,0.1075729181,183
86,1017,0.1086041861,0.1219706389,0.7688322148,0.9671974181,0.0660217721,82.594,0.1422500779,27
87,1018,0.0008873478,0.2515633458,0.5780912339,0.9122751845,0.0460077891,167.155,0.0685266994,17
88,1082,0.9957686039,0.4592608447,0.0081617746,0.9157699025,0.0408221292,139.061,0.341419311,99
89,1102,0.1954238958,0.421607336,0.7028404521,0.8775190037,0.20004932,78.29,0.3579773542,127
90,1124,0.266964154,0.4654547066,0.5634423415,0.754800173,0.0293443873,140.158,0.6649154297,16
91,1126,0.0070539987,0.3710862618,0.8829432176,0.4709132838,0.0360508488,146.14,0.5401594316,48
92,1161,0.8060461011,0.4221274884,0.945448315,0.9618332238,0.0508484608,165.301,0.1970734102,132
93,1193,0.97200265,0.618341117,0.2724071525,0.9302202926,0.0336704145,115.291,0.3061725314,51
94,1194,0.5592303136,0.3650682108,0.233392153,0.9257797283,0.0460830128,109.331,0.2598447881,134
95,1195,0.9475473118,0.2900942789,0.0480081846,0.9540022257,0.0336498212,67.83,0.0640606771,167
